index,Height,Height (m),Weight,BMI
0,178,1.78,74,23.35563691
1,148,1.48,60,27.39225712
2,154,1.54,76,32.0458762
3,163,1.63,93,35.00319922
4,157,1.57,91,36.9183334
5,160,1.6,43,16.796875
6,153,1.53,47,20.07774787
7,166,1.66,100,36.28973726
8,180,1.8,76,23.45679012
9,167,1.67,100,35.85643085
10,173,1.73,82,27.39817568
11,144,1.44,33,15.91435185
12,174,1.74,90,29.72651605
13,152,1.52,59,25.5367036
14,147,1.47,80,37.02161137
15,145,1.45,44,20.9274673
16,168,1.68,35,12.40079365
17,149,1.49,48,21.62064772
18,176,1.76,95,30.66890496
19,157,1.57,77,31.2385898
20,170,1.7,49,16.9550173
21,143,1.43,58,28.36324515
22,179,1.79,83,25.9043101
23,174,1.74,86,28.40533756
24,174,1.74,86,28.40533756
25,166,1.66,76,27.58020032
26,141,1.41,43,21.62869071
27,159,1.59,43,17.00882085
28,170,1.7,91,31.48788927
29,155,1.55,98,40.79084287
30,153,1.53,44,18.7961895
31,167,1.67,70,25.0995016
32,157,1.57,65,26.37023814
33,164,1.64,25,9.295062463
34,165,1.65,76,27.91551882
35,148,1.48,35,15.97881665
36,170,1.7,32,11.07266436
37,144,1.44,38,18.32561728
38,169,1.69,51,17.85651763
39,160,1.6,34,13.28125
40,141,1.41,45,22.63467632
41,169,1.69,79,27.66009594
42,166,1.66,53,19.23356075
43,148,1.48,31,14.15266618
44,175,1.75,48,15.67346939
45,173,1.73,92,30.73941662
46,143,1.43,84,41.07780332
47,156,1.56,45,18.49112426
48,164,1.64,26,9.666864961
49,177,1.77,71,22.66270867
50,167,1.67,87,31.19509484
51,147,1.47,28,12.95756398
52,167,1.67,45,16.13539388
53,179,1.79,88,27.46481071
54,158,1.58,61,24.43518667
55,170,1.7,68,23.52941176
56,155,1.55,56,23.30905307
57,158,1.58,27,10.81557443
58,174,1.74,25,8.25736557
59,180,1.8,100,30.86419753
60,173,1.73,94,31.40766481
61,159,1.59,57,22.54657648
62,155,1.55,82,34.13111342
63,179,1.79,94,29.33741144
64,156,1.56,73,29.99671269
65,163,1.63,82,30.86303587
66,154,1.54,80,33.73250126
67,167,1.67,55,19.72103697
68,178,1.78,39,12.30905189
69,140,1.4,78,39.79591837
70,157,1.57,71,28.80441397
71,173,1.73,30,10.02372281
72,146,1.46,29,13.6048039
73,173,1.73,32,10.691971
74,151,1.51,63,27.63036709
75,179,1.79,46,14.3566056
76,158,1.58,64,25.63691716
77,158,1.58,82,32.84730011
78,175,1.75,33,10.7755102
79,179,1.79,68,21.22280828
80,144,1.44,59,28.4529321
81,165,1.65,57,20.93663912
82,172,1.72,60,20.2812331
83,140,1.4,95,48.46938776
84,171,1.71,48,16.41530727
85,149,1.49,49,22.07107788
86,156,1.56,87,35.7495069
87,140,1.4,70,35.71428571
88,171,1.71,76,25.99090318
89,163,1.63,50,18.81892431
90,175,1.75,48,15.67346939
91,149,1.49,67,30.17882077
92,170,1.7,94,32.52595156
93,173,1.73,75,25.05930703
94,146,1.46,84,39.4070182
95,180,1.8,33,10.18518519
96,172,1.72,61,20.61925365
97,166,1.66,50,18.14486863
98,173,1.73,73,24.39105884
99,150,1.5,98,43.55555556
100,176,1.76,62,20.01549587
101,176,1.76,100,32.28305785
102,175,1.75,42,13.71428571
103,150,1.5,97,43.11111111
104,146,1.46,82,38.46875586
105,149,1.49,35,15.76505563
106,156,1.56,43,17.66929652
107,162,1.62,59,22.48132907
